lat,long,density
35.26945,-115.29293,0.214566694
35.26659,-115.2913,0.087818697
35.26743,-115.29633,0.704728299
35.27019,-115.29285,0.488157619
35.27258,-115.27722,0.089215133
35.24484,-115.29668,0.359157161
35.24198,-115.30013,0.309734513
34.29721,-117.21328,0.117612059
34.29735,-117.21351,0.206792453
34.31802,-117.19591,0.247145576
34.38204,-117.77138,0.591424968
34.38526,-117.77322,0.366451933
34.39242,-117.78426,0.402305282
34.39555,-117.76222,0.346904861
